objname,ra2000,de2000,t,type,v,logd25,d25,bt,incl,col10,_r,_RAJ2000,_DEJ2000,WISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,cntr,snr1,chi2W1,snr2,chi2W2,snr3,chi2W3,snr4,chi2W4,nb,na,sat1,sat2,sat3,sat4,ccf,ex,var,nW1,mW1,nW2,mW2,nW3,mW3,nW4,mW4,2Mkey,d2M,name,semimaj_arcsec,axial_ratio,pos_angle,dist
NGC3501,165.69705,17.98949,5.9,Sc,1126,1.63,4.265795141,13.61,90,,4.21E-04,165.697477,17.989378,J110247.39+175921.7,165.697477,17.989378,0.065,0.064,124,10.802,0.024,10.706,0.021,7.705,0.018,5.737,0.038,13.629,0.064,12.791,0.071,12.639,0.078,1.65E+18,46.1,76.7,51,39.2,61.5,20,28.9,4.54,1,0,0,0,0,0,0,5,9340,0,12,12,12,12,12,12,12,159642489,1.131,NGC3501,201.0425809,2.59587636,118.4523264,23.62
NGC4144,182.49375,46.45731,5.9,SABc,266,1.72,5.248074948,12.05,86.2,,1.54E-04,182.4938,46.45746,J120958.51+462726.8,182.4938,46.45746,0.087,0.084,142,12.394,0.025,12.329,0.025,9.711,0.036,7.134,0.071,15.41,0.123,13.961,,13.829,,1.83E+18,44,65.1,42.8,19.6,30.2,2.58,15.3,1.43,1,0,0,0,0,0.002,0,5,9011,0,16,16,16,16,16,16,11,1037738827,0.493,NGC4144,311.6276805,3.433724175,13.00362305,6.63
NGC5023,198.04905,44.03806,5.9,Sc,407,1.79,6.165949477,12.81,90,,1.59E-04,198.048876,44.037962,J131211.73+440216.6,198.048876,44.037962,0.091,0.088,139,12.751,0.024,12.766,0.027,10.602,0.064,8.154,0.19,14.717,,14.132,,14.877,0.166,1.98E+18,45.9,51.9,40.1,9.98,17,1.34,5.7,0.936,1,0,0,0,0,0,0,5,011n,0,16,16,16,16,13,16,2,643082279,2.348,NGC5023,342.6196526,4.239150264,115.0508814,9.50
NGC4437,188.18955,0.11462,6,Sc,1128,1.96,9.120109195,11.1,90,,7.55E-04,188.189771,0.115342,J123245.54+000655.2,188.189771,0.115342,0.061,0.06,87,10.693,0.023,10.587,0.021,7.212,0.016,5.148,0.034,14.681,0.151,13.863,0.215,13.23,0.125,1.88E+18,47.9,110,52.3,51.2,70,32.2,31.6,7.73,1,0,0,0,0,0,0,5,1136,0,13,13,13,13,13,13,13,265118664,0.529,NGC4437,534.4946021,4.65458325,-7.935365696,10.56
IC2233,123.4953,45.74251,6.5,SBc,585,1.46,2.884031756,12.45,90,,0.001235,123.495725,45.741311,J081358.97+454428.7,123.495725,45.741311,0.128,0.112,102,13.235,0.028,13.163,0.035,10.946,0.105,8.678,0.393,,,,,,,1.24E+18,38.2,18.8,31.1,4.25,10.4,0.968,2.8,0.987,2,0,0,0,0,0,0,5,011n,0,13,13,12,13,5,13,0,0,,IC2233,256.5354884,3.382878824,83.66310608,13.44
NGC5496,212.90865,-1.16048,6.5,SBcd,1543,1.43,2.691534479,13.52,82,,0.001552,212.907929,-1.159106,J141137.90-010932.7,212.907929,-1.159106,0.104,0.093,97,12.691,0.029,12.664,0.029,9.433,0.033,7.378,0.094,14.779,,15.285,0.236,13.841,,2.13E+18,37.9,27.1,37.1,5.57,32.8,2.12,11.5,1.31,2,0,0,0,0,0,0,5,4210,75,34,34,33,34,23,23,8,379395278,0.832,NGC5496,275.6250076,3.534968164,82.65310351,23.63
NGC3079,150.49095,55.67982,6.6,SBcd,1123,1.91,8.128304537,11.41,90,,6.40E-05,150.49093,55.679883,J100157.82+554047.5,150.49093,55.679883,0.053,0.049,114,8.385,0.022,7.885,0.02,4.077,0.016,1.946,0.015,11.915,0.059,10.586,0.063,9.645,0.033,1.49E+18,48.5,49.2,54.8,34.9,68.7,36.2,71.4,26,1,0,0,0,0,0,00h0,5,9499,21,15,15,15,15,15,15,15,562455575,0.22,NGC3079,451.2059584,3.661897364,73.77728539,19.30
NGC4222,184.0941,13.30724,6.6,Scd,230,1.45,2.818383241,13.9,90,,4.49E-04,184.093847,13.306864,J121622.52+131824.7,184.093847,13.306864,0.097,0.087,30,12.028,0.027,11.871,0.027,8.909,0.031,7.25,0.124,14.243,,14.45,0.174,14.059,0.162,1.85E+18,40.2,29.5,40.3,8.52,34.9,2.8,8.8,1.68,3,0,0,0,0,0.003,0,5,301n,111,14,14,14,14,14,14,3,1039830536,1.19,NGC4222,202.2235604,2.545264332,-31.84350169,23.35
UGC07321,184.3914,22.54026,6.6,Scd,412,1.68,4.786300345,14.09,90,,9.61E-04,184.392423,22.540435,J121734.18+223225.5,184.392423,22.540435,0.093,0.091,97,13.07,0.022,12.882,0.029,10.12,0.053,7.873,0.172,15.037,,14.205,,14.999,0.154,1.84E+18,48.3,44.1,37.2,8.98,20.6,1.82,6.3,1.05,1,0,0,0,0,0,0,5,100n,0,12,12,12,12,12,12,2,266922059,2.254,UGC07321,267.973217,3.524470108,-4.287113679,17.88
UGC09242,216.3378,39.53941,6.6,Scd,1466,1.62,4.16869388,14.12,90,,3.59E-04,216.337986,39.539739,J142521.11+393223.0,216.337986,39.539739,0.12,0.115,71,14.307,0.029,14.096,0.038,10.964,0.066,8.009,0.121,,,,,,,2.17E+18,37.9,10.1,28.6,1.87,16.5,1.04,8.9,1.05,1,0,0,0,0,0,0,5,000n,0,30,30,30,30,16,28,2,0,,UGC09242,268.0027904,5.352314661,-19.41032506,20.48
NGC4178,183.1932,10.86585,7,Scd,375,1.67,4.677350951,11.88,90,,8.88E-04,183.193858,10.866459,J121246.52+105159.2,183.193858,10.866459,0.076,0.069,63,12.105,0.021,11.978,0.024,8.266,0.022,6.026,0.041,15.416,0.169,13.46,,14.581,0.221,1.83E+18,50.9,66.6,44.9,14.9,49.9,4.39,26.5,1.83,2,0,0,0,0,0,0,5,6000,87,14,14,14,14,14,14,14,870906066,1.933,NGC4178,285.7954394,3.041725362,121.9533952,15.97
UGC07089,181.49115,43.14402,7.9,Sd,774,1.48,3.019951853,14.13,90,,0.001391,181.492272,43.145144,J120558.14+430842.5,181.492272,43.145144,0.14,0.13,82,13.933,0.031,13.959,0.042,11.938,0.211,9.1,0.494,,,,,,,1.82E+18,35.1,15.8,25.8,2.5,5.2,0.936,2.2,0.992,2,0,0,0,0,0,0,1,11nn,0,16,16,16,16,1,16,0,0,,UGC07089,213.0089507,2.688582243,125.3921819,12.96
ESO149-001,356.9529,-57.07261,8,SBd,1899,1.53,3.388441338,13.53,90,,0.001385,356.951869,-57.073877,J234748.44-570425.9,356.951869,-57.073877,0.129,0.125,132,13.89,0.029,13.771,0.041,10.548,0.069,7.559,0.113,,,,,,,3.57E+18,37,21.1,26.2,4.2,15.8,1.39,9.6,1.23,2,0,0,0,0,0,h000,1,001n,0,13,13,13,13,12,13,3,0,,ESO149-001,188.5777542,2.427005335,117.4117443,21.75
NGC4236,184.17525,69.46257,8,SBd,183,2.37,23.44228198,10.05,90,,3.74E-04,184.175029,69.462936,J121642.00+692746.5,184.175029,69.462936,0.047,0.046,104,12.922,0.026,12.869,0.025,11.192,0.091,8.827,0.283,13.79,0.029,13.341,0.043,13.311,0.041,1.84E+18,42.3,6.01,42.8,2.48,12,1.07,3.8,1.13,1,0,0,0,0,0,0,5,001n,0,24,24,24,24,4,21,0,1027328467,0.387,NGC4236,920.9630733,3.49170197,70.03964532,3.87
NGC4592,189.82815,-0.53196,8,Sd,1068,1.61,4.073802912,12.57,90,,5.60E-04,189.827593,-0.532014,J123918.62-003155.2,189.827593,-0.532014,0.099,0.094,70,12.349,0.03,12.386,0.028,9.223,0.038,6.478,0.071,15.987,0.206,13.849,,13.768,,1.89E+18,36.6,55.9,38.5,17,28.7,5.23,15.3,2.53,2,0,0,0,0,0,0,5,1122,86,12,12,12,12,12,12,8,232182316,2.488,NGC4592,417.9600297,3.414114268,3.375740878,11.63
NGC1437B,56.47875,-36.35695,8.3,Sd,1496,1.46,2.884031756,13.83,90,,0.00171,56.478206,-36.355297,J034554.76-362119.0,56.478206,-36.355297,0.073,0.071,0,12.643,0.025,12.591,0.024,9.013,0.02,7.018,0.051,16.22,0.262,15.669,0.351,13.917,,5.59E+17,43.8,39.2,45.9,9.36,54.7,4.67,21.1,1.14,2,0,0,0,0,0,0,3,9111,11,51,51,51,51,49,49,24,620026973,1.098,NGC1437B,122.9883449,2.109283404,89.55434216,8.68
ESO471-006,355.9431,-31.95695,8.6,SBm,269,1.56,3.630780069,13.6,90,,9.83E-04,355.942052,-31.956531,J234346.09-315723.5,355.942052,-31.956531,0.24,0.222,132,15.203,0.044,14.892,0.093,12.093,,8.65,,,,,,,,3.56E+18,24.6,4.07,11.7,1.21,0.7,0.977,0.7,0.929,1,0,0,0,0,0,0,2,21nn,88,16,16,9,16,0,7,0,0,,ESO471-006,228.7991645,2.908192948,133.109261,5.55
IC2574,157.10235,68.41319,8.9,SABm,46,2.11,12.88249241,10.83,83,,0.001005,157.104927,68.412857,J102825.18+682446.2,157.104927,68.412857,0.206,0.189,67,15.199,0.044,14.518,0.05,11.742,0.152,9.32,,,,,,,,1.58E+18,24.5,2.36,21.6,1.38,7.1,0.954,0.4,1,1,0,0,0,0,0,0,2,20nn,0,19,20,20,20,1,19,0,0,,IC2574,611.4667101,2.088067643,-32.91511848,3.54
PGC044532,194.7576,34.86082,8.9,Sm,837,1.58,3.801894339,12.86,90,,0.001214,194.758819,34.860132,J125902.11+345136.4,194.758819,34.860132,0.166,0.156,73,14.708,0.034,14.62,0.059,11.836,0.188,8.306,0.21,,,,,,,1.96E+18,32.1,8.09,18.4,1.51,5.8,1.02,5.2,0.958,1,0,0,0,0,0,0,5,10nn,0,17,17,16,17,2,17,1,0,,PGC044532,235.7417525,1.741659386,111.3374681,10.66
NGC0625,23.77125,-41.43676,9,SBm,389,1.82,6.606935278,11.64,90,,6.01E-04,23.771998,-41.436545,J013505.27-412611.5,23.771998,-41.436545,0.07,0.064,169,12.125,0.024,11.88,0.025,7.909,0.017,5.044,0.029,,,,,,,2.37E+17,44.9,83.2,43.6,29.1,62.9,20.9,37.5,11.4,2,0,0,0,0,0,000d,3,4211,0,13,13,13,13,13,13,13,0,,NGC0625,440.1995558,2.765851337,5.65075445,3.75
NGC4656,190.9896,32.17016,9,SBm,604,1.81,6.45654144,9.82,90,,0.001022,190.990686,32.169714,J124357.76+321010.9,190.990686,32.169714,0.073,0.071,66,12.311,0.026,12.139,0.026,8.285,0.019,4.967,0.038,15.262,0.086,14.693,0.102,14.461,0.092,1.91E+18,41.7,51.4,41.1,14.8,57.3,7,28.3,3.18,2,0,0,0,0,0,0,5,4110,11,14,14,14,14,14,14,14,203556439,2.351,NGC4656,710.5788745,4.394867677,126.567118,5.50
NGC4758,193.1847,15.84656,9.1,SBm,1242,1.44,2.754229066,13.57,90,,0.002583,193.183443,15.848843,J125244.02+155055.8,193.183443,15.848843,0.07,0.067,88,11.823,0.024,11.816,0.024,8.313,0.02,5.979,0.04,15.322,0.107,13.46,,13.049,,1.93E+18,46,57.6,45.7,17.3,54.1,6.54,27.2,1.8,1,0,0,0,0,0,0,5,7100,11,15,15,14,14,15,15,14,156367734,1.292,NGC4758,198.3195914,2.556803542,64.88878991,14.44
NGC3396,162.4806,32.99078,9.4,SBm,1629,1.49,3.0902955,12.43,90,,2.20E-04,162.480861,32.990762,J104955.40+325926.7,162.480861,32.990762,0.046,0.045,54,11.205,0.018,10.827,0.018,5.992,0.012,2.79,0.016,,,,,,,1.62E+18,59.6,136,59.3,53.1,89.4,40.1,69.4,19.8,1,0,0,0,0,0.004,0,5,3614,0,12,12,12,12,12,12,12,0,,NGC3396,272.6742789,1.741963748,-20.85091659,24.90
NGC4532,188.5809,6.46756,9.7,IB,2015,1.4,2.511886294,12.27,90,,5.56E-04,188.580353,6.467675,J123419.28+062803.6,188.580353,6.467675,0.075,0.066,102,11.41,0.027,11.149,0.024,6.893,0.019,4.025,0.034,15.143,0.187,14.276,0.195,12.81,,1.88E+18,39.6,42.5,45.6,24.8,56.7,22.9,32.4,20.7,2,0,0,0,0,0,0,5,1113,-71,11,11,11,11,11,11,11,871875718,0.709,NGC4532,221.8494154,1.8581312,69.55714448,14.62
